input,translation
यति भन्दै उ आफ्नै बाटो हिड्यो । ,इटार डेम होसे मेनो लाम व्हा ।
अघि मरिचजस्तो खुम्चेको उ फुलेर बेलुन बन्यो । ,म्हेनीङ मरिचेलख खुस्च होसे फुक्म नामारन बन ङापा ।
कठ परिक्रमा गर्ने बेलामा केटाकेटीहरु नजिक गयो भने काँडाले घोचे झैं घोच्ने गरी सराप्थ्यो बाहुनकी बुढी । ,कठ परिक्रमा जाट्च बेलाङ जजाको खेरेप नुहुँआ डेनाङ जुय डुम गरी सराप्डीओला बाहुनो बुढी ।
पुरानो मैलोले कालो तीन चार ठाउँ टालेको लुगा लगाउँथ्यो उसले । ,पुरानो रीस्च कालो सोम बूली ठाउँ टाल्डीच कपडा बीलोला होच्य ।
भेट हुने बेलामा साथीको नाम ‘अग्निपुष्प’ थियो । ,डूप्च बेलाङ लाफौ म्यारमीन माग्निपुष्पाङ्म लेया ।
तर श्रीमान श्रीमतिको सम्बन्ध कहिल्यै रहेन । ,टर लेन्जा माझौ सम्बन्ध सेनर माछान्हा ।
दिउँसो अलि तातो भएपनि साँझ र बिहान चिसोले आफ्नो स्वभाव देखाइसकेको थियो । ,नामसीन अली जोस्म लेनाङर नाबीकलाक क्योक्च मेनो स्वभाव टनाक्मभ्याम लेया ।
कसै कसैले त्यसै भने । ,सु सुय होटन डेया ।
पेमा घरतिर आउँदै छ । ,पेमा इमलाक राहामन ले ।
उता सहरमा छोरीहरुलाई तन्नेरीहरुले दुःख दिन्छा भन्ने कुरा सुन्नमा आयो । ,होलाक सहराङ माझामीजाकोके र्हेन्जाकोइ डुखा याहाले डेच कुरा सेके राहा ।
चार महिना पछि तलब आएपछि त मैले मेरो तलब सासु र ससुरालाई ल्याएर दिएँ । ,बूली महीना न्हुनीङ टलब राहाप्याक द्ब ङै ङौ टलब सासु अनी ससुराके राकार ङायाहाङ ।
झलझली अघि मलाई गिज्याउने साथीहरु सम्झ्यो । ,झलझली म्हेनीङ ङाके खेरेहेच लाफाको आर्मीटा ।
दमिनीले हात हालेर लगेछ । ,दमिनीय मीहुट कार नुहुँन्लेसा ।
ऊ पो त्यस्तो । ,होस पो हुन्च ।
तिमी उतातिर जाऊ । ,नाङ होलाक नुङ्न ।
संकटकालको समय सबैले सम्झ्यो साँचिकै उनी आतंककारी होला । ,संकटकालो समय जम्मैय आर्मीटा साँची न होसे आटंककारी ओला ।
हिजो दिनभरि हिडेको थियो छेपारी दुखेछ । ,टीसीनीङ याकभर व्हामन्या छेल्हेस डुखे ।
सधैँ जाँच सकेपछि रिजल्ट हुने दिन म आफ्नो नाम फस्ट घोषणा भएको सुन्न उत्सुक भैरहन्थेँ । ,सेनडसेन जाँच भ्याट्प्याक रिजल्ट छान्ह्च याक ङाल्लौ म्यारमीन फस्ट घोषणा छान्ह्च सेके उट्सुक छान्ह्मनङुओला ।
ढिला नभएकोले छिटो भयो । ,ढिला माछान्ह्चय झोको ।
एक्दे बाजेले मासु तानेर कुकुरतिर फ्याँक्नु भयो । ,एक्दे बाजीय स्या टन्डीम चीऊलाक लोहा ।
कसैले केहि कुरा बोलेन । ,सुयर हीड कुरा माङाका ।
जुवा खेल्न झरे उनीहरु । ,जुवा गेस्के झाला होसको ।
जैबारी डाँडामा थापेको पिङ उखेलेकै थिएन । ,जैबारी डाँडाङ ठाल्च पीलौनी माहुट्मन लेया ।
सिबिरमा बस्नेहरु सबैको यस्तै । ,सिबिराङ ङुके जम्मैओ इन्चन ।
म भए ठाउँसम्मै आए । ,ङा लेठाङ ठाउँसम्मन राहा ।
यति भनेर लप्टन बाजे चुप बस्नुभयो । ,इटार डेयार लप्टन बाजी चुप ङुआको ।
‘पक्कै मलाई तिनले गाली गरेकी हुनुपर्छ . . . । ’,काटपक्कै ङाके होच्य नार्च छान्ह्केपर्ले . . . ।
"कान्छाले पनि आँखा जुधाउने हिम्मत गर्न सकेन र कम्पित स्वरमा भन्यो , ‘माफ पाउँ ! दुखी बनाएकोमा . . . । ’","कान्छै ड मीमीक डापाक्के हिम्मट जाट्के माय्होका अनी होयोच स्वराङ डेया , नेमा याहानी ! डुखी खास्चय . . ।"
अहिले मलेसियाबाट  । ,इनाङ मसियाइङ ।
मलाई त राम्री लागेन । ,ङाके च सेहेच मालैडीसा ।
हग्नु मुत्नु जानुलाई पाखा जानु भन्दो रहेछ । ,बेन र्होस नुहुँके पाखा नुहुँनी डेके लेसा ।
त्यसपछि देख्ने भेट्ने भएन तिनीहरुसँग । ,होटीङ डाङ्के डुप्के माछान्हा होसकठा ।
त्यो आइमाईस“गै गएको उनको होटले चिनजाने साथी गायब थियो । ,होसे माझा मीजाघाट्म न नुहुँनो होटनो होटै चीनजान लाफाले गाह्याब लेया ।
त्यहीँ बस्थेँ । ,होलाङ ङुओला ।
"उसको भाइले के के भन्यो , के के गर्ने भयो जस्ता अनेक शब्दहरु सोधिए । ","होच्यो भय ही ही डेया , ही जाट्के छान्हा लख अनेक शब्दको गीना ।"
उत्तरमा फलाँटे स्याउरिथलिको डाँडा । ,उट्टराङ फलाँटे स्याउरिथलिओ डाँडा ।
तीनवटा जति केराको बोट । ,होमवटा खाल मोचौ मीम ।
हुरी जसरी आयो  । ,आतरी लखन राहा ।
ताम्बा बुढापाका बाजेहरुले दशैं त हामीले मनाउनु पर्ने होइन रहेछ भनेपछि छोडेको । ,ताम्बा बुढापाका बाजीकोय दशैं च कानकोइ मन्डीके पस्च माहाले लेसा डेप्याक डास्च ।
‘हाम्रो आमालाई के खुवाउन लागेको ? बिष खुवाउन लागेको हो ? ’ उनले भनी । ,कानुङ मोइके ही कास्के पाच ? बीष कास्के पाच आले ?
तिमीहरू नर्स हौ ? ,नाको नर्स आले ?
सरासर गोठतिर गएँ  । ,सरासर बरसाल नुहुँआ ।
"‘आच्छु ! कति कठ्याङ्ग्रीएको पानी’ पानी धेरै चिसो थियो , ‘मन मनै मैले भने । ’","आच्छु ! कुडीक क्ठ्याङ्ग्रडीस्च डी च ढेर क्योक्च लेया , होयोम मीमन न ङै डेया ।"
मैले खाँदै गर्दा सम्म कोहि साथीहरु आइपुग्यो भने हेर्नु पर्ला । ,ङै खाँम जाट्नाङ सम्म सु लाफाको टाराहा डेनाङ ङोस्के परीस्के ।
‘नयाँ साल २०५६ को हार्दिक मंगलमय शुभकामना  । ’ मैले ओछ्यानमुनिबाट पोस्टकार्ड झिकेर हेरेँ  । ,सोमयाँ साल २०५६६ ओ हार्दिक मंगलमय शुभकामना ।
मैले कुरा बोल्न सकिन । ,ङै कुरा ङाक्के माय्होका ।
झन धेरै रुन मन लाग्यो । ,झन ढेर राप्के मीमन लैडीसा ।
हिजोदेखि मलाई नछोडेको बज्यै खाना पकाउन जानु भयो । ,टीसीनीङलाकीङ ङाके माडास्च बज्या छो ठोहोके नुहुँआको ।
"साँच्चै मैले उनैको नाम दिएर लेखेको कविता समेत दिन पाईन , दिन मन लागे पनि । ","साँच्चै ङै होसकुङ म्यारमीन याहाम रीक्च कविता समेत याहाके माडीन्हा , याहाके मीमन लैडीसनाङ ड ।"
सानो लगेज झोला बोकेको भाइ पनि थियो सँगै । ,मार्ह्च लगेज झोला बुच भया ड लेया कठा ।
डाजाङमा मेरो साहित्कि यात्रा मुक्तकबाट शुरु भएको थियो । ,डाजाङाङाङ ङौ साहित्य सात्रा यात्रा मुक्तकीङ सुरु छान्ह्च लेया ।
"‘ए . . . हो , हुन्छ नि जागिर खान त’ आमाले फुरुङ्ग हुँदै भन्नु भयो । ","एई . . . आले , छान्ह्ले नी जागीर ज्याके च नो मोइय फुरुङ्ग छान्ह्मन डेयाको ।"
म मर्ने नै भैगो । ,ङा सीके न भैसा ।
हिजो फापरबारीमा शाही सेना र जनमुक्ति सेनाको भिडन्तमा दीपेश मारिएछ  । ,टीसीनीङ फापबारीआङ शाना अनी जनमुक्ति सुन्तओ भिडन्टाङ दीपेश गालेसा ।
सन्तवीर पाख्रिनको पुस्तक यिनीहरू हुन् - ' ताम्बा काइतेन व्हाइ रिमठिम ' र ' स्येबुस्येमु व्हाइ रिमठिम ' । ,सन्तवीर पाख्रडीओ पुस्तक इतारनीको आले- ' टाम्बाइटे काइते हिड्ठि अनी 'ङा स्यौं । '
सुकुल माथि राडी ओछ्याएको थियो । ,सुकुल ढेमाङ राट्च लेया ।
हिले बजार लेकको ठाउँ हो । ,हीले बजार लेकओ ठाउँ आले ।
त्यसबेला मसँग अतिरिक्त विषय गणित लिएर पढ्ने साथीहरु दशजना पनि थिएन । ,होसबेला ङाकठा अतिरिक्त विषय गणित लाम पढीस्के लाफाको चूजना ड मालेया ।
आज तरकारीहरू केही किनेको छैन । ,छीनिङ मेटको हीड मालोमने ।
किताब नयाँ किन । ,किटाब नयाँ ल्होनी ।
केहि समय पछि आइओएमले हेरे । ,हीड समय न्हुनीङ राहाकोइ ङोसो ।
चाहिने नचाहिने खर्च गर्यो । ,चैडीस्च माचैडीस्च खर्च जाटा ।
रङ्गे दमाइले आफ्नो परिचय यमलाल क्षेत्री भनेर दियो । ,रङ्गे दमाइय मेनो परिचय यमलाल क्षेत्री डेम याहा ।
जन्तीलाई दिने जाँड सारै छिप्पेको रहेछ । ,जन्टीके याहाके हान सारै माराङ्च लेसा ।
बाहुनी मलाई सराप्दै थिइ । ,बाहुनी ङाके सराप्डीम लेया ।
यो घरतरुल होइन । ,इसे इम इम आर्ल माहाले ।
घरमा हाँसो खुसी नै थियो । ,इमाङ रेट्च खुसी न लेया ।
गाउँका बुढापाका भेला भएछन् । ,लाङ्घाओ बुढापाका भेला छान्ह्लेसा ।
मैले सम्झेदेखि बुबालाई देखिनँ  । ,ङै आर्मीटनाङ बोइके माडाङा ।
एक बोरा चामल लैजाऊ । ,काट बोरा छुरु नुन्नो ।
ताप्के कालो हुन्छ । ,टाप्के कालो छान्ह्ले ।
पछि उनीहरुले केटी माग्न आएको भनेर भने । ,न्हुनीङ होसकोइ माझा ङीहीके राहाच डेम डेया ।
विचर धेरै पाप गर्यो क्यार धेरै गाह्रो भयो । ,वीचरा ढेर पाप जाटा क्यार ढेर गाह्रो छान्हा ।
भोलीपल्ट गोठोलो जाँदा सँगै लिएर गयो । ,पीहीनपल्ट मार्हा नुहुँनाङ कठान लामन नुहुँआ ।
ऊ को हो ? ,होसे ही आले ?
साङमोले अहिलेसम्म दुध खादै छे । ,साङमोय इनाङसम्म दुध गामन ले ।
लौ है भोली बिहान त चाँहि खाँदबारी जानु पर्ने रहेछ । ,लौ है पीहीन गोराक च खाँदबारी नुहुँके पस्च लेसा ।
भिन्न मान्छे दुःख एउटै । ,भाहाच भर्मी डुखा काट्च ।
"मैले भात खाए , तरकारी खाए , मासु खाए । ","ङै छो ज्या , मेट ज्या , स्या ज्या ।"
त्यो बुढी को रहेछ ? ,होसे बुढी सु लेसा ?
एक दिनको यो चोला । ,काट याको इसे बोला ।
नाङ्सालको अध्यक्ष बज्यैले भने जस्तै गाउँ बनाउनु पर्छ । ,नाङ्सालओ अध्यक्ष बज्ये डेच लख लाङ्घा खास्के पर्ले ।
फेरिको जुनीमा तिमी मसँगै जन्म लेउ । ,फेर्डीस्च जुनीआङ नाङ ङाकठान फुन्हीङ ।
‘तिमीलाई के भयो ? ’ छोरालाई कराए बुढी बज्यैले । ,नाङके ही छान्हा ? ? छान्ह्मन लेन्जामीजाके च्याका बुढी बज्ये ।
मैले कुरा बोल्न सक्दैन भन्ने कुरा उनीहरुलाइै थाहा भैसक्यो । ,ङै कुरा ङाक्के माय्होकले डेच कुरा होसकोके ठाहा छान्ह्मभ्या ।
नमारे उसको मित बुहारीलाई हेर्ने मान्छे हुने छैन भन्ने कुरा उसले थाहा पाइसकेको थियो । ,मासाटनाङ होच्यो मीट बुहारीके ङोस्के भर्मी माछान्ह्ले डेच कुरा होच्य ठाहा डीहीन्मभ्याम लेया ।
आँसु बगाएँ बुझेन । ,मीमीकडी बगडीया माव्हारा ।
यहाँ बस न । ,इलाङ ङुन न ।
कुखरा नमार । ,ग्वा मासाटो ।
मेरो गाला पुनः रातो भयो ती साथीको कुरा सुनेर । ,ङौ मीगाला फेरीः ग्याच छान्हा होस लाफौ कुरा सेयार ।
त्यो कुकुर कालो वर्णको थियो । ,होस चीऊ कालो वर्णओ लेया ।
तिमी तलतिर जाऊ । ,नाङ म्हाकाङलाक नुङ्न ।
रूखबाट पात झर्यो । ,वुटीङ पार्लाक झाला ।
यो भन्दा छ वर्ष पहिलेको कुरा हो । ,इसे डेनाङ ले ल्हेसो पहीला कुरा आले ।
म ताम्बा हुँ । ,ङा टाम्बा आले ।
केहि गर्न नहुने । ,हीड जाट्के माछान्च ।
कति ठाउ“मा त त्यही हात धुने भाडा ल्याएर जबरजस्ति हातै धोइ दिन्थे । ,कुडीक थाउआङ च होसे मीहुट हुर्के भाडा राक्म जबरजस्टि मीहुटन हुर्म योहोला ।
"मलाई त्यसो भनेर माया दिने सिस्टर कोहि नभएर , वन्दना पोखरेल सिस्टर नै थिई । ","ङाके होसे डेम माया याहाच सिस्टर सु माहल्म , वन्दना पोखरेल सिस्टर न लेया ।"
‘मेरो छारी खोइ ? ’ उनले आउने बित्तिकै सोधे । ,होसे माझामीजा खै ? होच्य राह्च बीट्टीकै गीना ।
उनको आफ्नो नामको केही थियो त उनकै बाटो कुरेर बसेको त्यही ठूलो बुर्जावाला घर थियो । ,होच्यो मेनो म्यारमीनो हीड लेया च होच्यो लाम वाङ्म ङुच होसेन करङ्च बुर्जावाला इम लेया ।
मसँग एउटा टोपी छ । ,ङा कठा काट टोपी ले ।
लानि दिनि होमवर्क गर्दै थिए । ,लानि दिनि आलेमवर्क जाट्मन लेया ।
सानी छोरी चार वर्षकी भइन् । ,मार्ह्च माझामीजा बूली ल्हेसो छान्हा ।
मैले अघि झाँक्रीस“ग टाउकोमा हात राखेर खाएको कसम झण्डै बिर्सएको । ,ङे मेनीङ झाँक्रीसराङ मीटालुआङ मीहुट डाम ज्याच कमय झण्डै म्याक्च ।
उनी भने मसँग नडराउँने नलजाउने भैसकेकी थिई । ,होसे भर ङाकठा माबीरीके माकराके छान्ह्मभ्याच लेया ।
मैले केहि भनिन चिना साथीलाई । ,ङै हीड माडेया चिना लाफाके ।
माछाको खुट्टा हुँदैन । ,मोइओ मीहील माछान्ह्ले ।
म र ऊ जात्रामा गयौं । ,ङा र होसे जात्राङ नुहुँआ ।
बुहारीहरू घाँस दाउरमा गएकी छिन् । ,बुहारीको घाँस सीङाङ जाट्के नुङ्मने ।
अहिले जस्तो जुनसुकै बेला जान आउन नसक्ने थियो रे । ,इनाङ लख जुनसुकै बेला नुहुँके राहाके माय्होक्के लेया टा ।
‘भए पनि यसलाई एउटा चिजको खाँचो छ’ अर्को एकजनाले भने । ,डेनाङ ड इसके काट चीजो खाँचो ले आस्काट काटजनाय डेया ।
‘ल हिँड । ’,होसे व्हान ।
तिनले छोरोलाई फेरि फकाउन खोजिन् । ,होच्य लेन्जामीजाके फेरी होम्के पा।
"भाँडा माझ्ने छ्याङ्माहरुले कसैले भाउजु , कसैले के के साइनो लाएर कुरा बोले । ","भाँडा ठुट्च ले्याङ्माकोके सुय भजी , सुय ही साइनो लैडीम कुरा जाटा ।"
होस फिर्दा थाहा भयो कि स्वयम्भूनजिकैको गेष्टहाउस रहेछ । ,होस फिर्नाङ ठाला छान्हा की स्वयम्भूजिकै गेष्टहाउस लेसा ।
मेरो श्रीमतिको त्यो क्रियाकलाप अनि मैले श्रद्धा गरेको त्यो आइमाइको चरित्र देखेपछि भने ममा उल्टो सोँचको विकास भयो । ,ङौ माझौ होस क्रियाकलाप अनी ङै श्रद्धा जाट्च होस माझौ चरित्र डाङ्प्याक डेनाङ ङाङ उल्टो सोँचो विकास छान्हा ।
मसँग नलजाइकन । ,ङाकठा माकराम ।
उसको छोरो पास होस् । ,होच्यो लेन्जा मीजा पास अटछानोस् ।
जोडि मिलिरहेको थिएन । ,जोडी माखाट्मन लेया ।
पाल्मो नाची । ,पाल्मो स्याहा ।
मलाई आफ्नो नाम पत्रिकामा छापेको हेर्न आत्तुर भयो । ,ङाके ङाल्लौ म्यारमीन पत्रिकाङ छाप्डीम ङोस्के आटुर छान्हा ।
केही वर्षपछि नै सुन्तला गज्जबले फल्न थाल्यो । ,हीड ल्हेस न सुन्टला गज्जै स्यास्के ठाला ।
सासु मनमायासँग कहिले काही हासिमजाक गर्थिन् । ,सासु मनमायाकठा सेन काके नामसुय जाट्ला ।
प्रधान बुढा देख्ने बित्तिकै बाहुनी बुढी रुन थाली । ,प्रधान बुढा डाङ्च बीट्टीकै बाहुनी बुढी राप्के ठाला ।
ठूलो ठूलो स्वार निकाली निकाली रोएको । ,बड्को करङ्च स्वार छ्युक्का राप्च ।
के के खोजे झैं यता उता हिँडिरहेको थियो उ । ,ही ही पानाङ लख इलाक आलाक व्हामन लेया होसे ।
"‘साथी हो बाँचे आईन्छ , मरे राईफल सिरानीमा’ सधैं छुट्टिने बेलामा ठट्टा गर्दै उनी भन्ने गथ्र्यो । ","लाफा आले जीवानाङ राहाले , ङारे राईङ पाहाम सिरानी साँढसेन छुट्डीस्च बेलाङ ठट्टा जाट्मन होस डेम ग्रडीओला ।"
ड्राइभरको पछिको सिट । ,ड्राइभरो न्हुलाकौ सीट ।
दाज्युका सिजोका शब्द शब्दमा यौन बाँच्छ । ,दाजीओ सिजोओ शब्द शब्दाङ यौन ङाहाले ।
"वान्तवा रार्ईहरु बाख्रा नकाट्ने , नखाने । ","वान्च राईको र्हा माचेके , माज्याके ।"
हिमाल भनेको देवी बस्ने डाँडा हो । ,हीमाल डेच देवी ङुच डाँडा आले ।
ऊ कहिले आउँछं ? ,होसे सेन राहाले ?
अरु बेला त पारी पाखातिर बाख्रा गाई चराउने र मोथिको भेँडागोठ हाँडीखर्कको गोठालो मात्र आइपुग्ने । ,अरु बेला च पार्लाक पाखालाक र्हा हेट आर्छाके अनी ढेमाओ लूकबरसाल हाँडीखर्कओ बरसाल्या मात्रै टाराहा ।
दाज्युलाई मन पर्यो । ,दाजीके मीमन परीसा ।
त्यसो भने म जान्न । ,होट डेनाङ ङा मानुहुँले ।
यिनीहरू त माओवादी होइनन् र  ? ,होसको च माओवादी माहाले र ?
जात्रामा को को गए ? ,जात्राङ सु सु नुहुँआ ?
यिनीहरूले केरा खाए । ,इसकोइ मोचा ज्या ।
हामीहरू तामाङ हौं । ,कानको तामाङ आले ।
यस्तो कविताहरु सुको दाज्युले धेरै लेख्दै आएनु भएको छ । ,इन्च कविताको सुको दाजीय ढेर रीक्म राहामन लेको ।
बुढाले चाउरिएको गालामा बसेको झिँगालाई पाट्य हान्यो । ,बुढोय रुहुच मीगालाङ ङुच जीम्माह्ङके पाट्य ङापा ।
तिमीहरू मोक्तान हौ । ,नाको मोक्तान आले ।
"मेरो त्यो कविता पढेपछि कवि दाज्यु नरेश शाक्यले पनि भेट हुने बेलामा मलाई भन्नु भएको अहिले झैं लाग्छ , ‘ईश्वर भाइ , मैले तिम्रो एउटा कविता एकेडेमीबाट निक्लने कविता नामको पत्रिकाको एउटा अंकमा पढ्न पाएको थिएँ । त्यो कविता मलाई औधी मन पर्यो । भाइलाई शुभकामना छ । सधैं यस्तै मन छुने कविताहरु लेख्दै जानु है । ’","ङौ होस कविता पढीस्प्याक कवि दाजी नरेश शाक्ये ड डुप्च बेलाङ ङाके ड डूप्च बर्लाङ ङाके डेच इनाङ लखन लैडीसले , ङाके नो काट कविता एकेडेमीईङ छ्युक्च कविता म्यारमीनो पत्रिकाङ पढीस्के डीन्ह्च ङालेयाङ ।"
कुखराले माटो खोस्र्याउदै थियो । ,ग्वाय झा खोस्डीमज लेया ।
"‘मलाई धेरै टेन्सन भयो’ उसेल भन्यो , ‘म विदेश जानु पर्यो । ’","होडीकके ढेर टेन्सन छान्हा होसेन डेया , 'ङा विदेश नुहुँके परीसा ।"
भागमा पनि छोयो । ,भागाङ ड डासा ।
मैले सम्झने बेलादेखि उसलाई प्रधान बुढा भन्दो रहेछ । ,ङै आर्मीटच बेलीङ होसके प्रधान बुढा डेके लेसा ।
अरु पाहुनाले खाएको भाँडो आमाले पखाल्न हुँदो उसको चाँहि किन भएन ? ,अरु पाहुनाय ज्याच भाँडा मोइय हुर्के छान्हाङ होच्य च हीके माछान्हा ?
कमरेड ओखटे उनीहरुले लगेपछि कहिल्यै फर्केर आएन । ,कमरेड ओखटे होसकोइ लगेप्याक सेनर माराहा ।
फूलबाट निस्केको हरक मेरो श्वासनली हुँदै फोक्सोमा पुग्यो  । ,सारीङ ख्योहोच हरक ङौ स्वासनली छान्ह्मन फोक्सोआङ टाहा ।
दिदीहरू खेतबाट आउँदै छन् । ,डैको गार्हा लेकीङ राहामन ले ।
जुवामा त हारियो हारियो घर पनि बिटुलो पारिदियो । ,जुवाङ च हार्डीसा हार्डीसा इम ड बिटुलो पार्डीया ।
ओते बिसि ङा तिसारि निजि । ,ओते बीसि म तिहार निसाराङा ।
सोचेको जस्तो होस् । ,आर्मीट्च लख छानोस् ।
अघि खुट्टै ढोक्ने जाबोले हामीलाई भाडा माझ्न र लोट्न लगाउने ? ,मेनीङ मीहीलाङन झोर्के जाबोय कानके भाँडा छलाम्के अनी लाक्के लैडीके ?
उनीहरुले पानी नै नपुगेर त्यसो भएको पनि भने । ,होसकोइ डी न माओल्म हुन्च छान्ह्च ड डेया ।
त्यो कुकुर कता छाडेको त्यहीँ होला ठानेर म न्यातपोल मन्दिरमा पुगरे कुकुरलाई नियालेँ । ,होस चीऊ कुलाक डास्च होलाङ ओला लोक्म ङा न्यातपोल मन्दिराङ टाहाम चीऊके ङाओसाङ ।
कसरी धोकेँ थाहा छ ? जसरी फिल्ममा हिरोले हिरोइनको विछोड पछि वा हार्दै गरेको गुण्डाले रिसको रागमा पिउ“छन्् नि हो त्यसैगरी । ,कुटरी ढोक्न ठाहा ले ? जसरी फिल्माङ हिरोय हिरोइनो विछ वार्ह्मन जाट्च गुण्डाय मीरीसो रागाङ गाले नी होडीको ।
दिन्हु दाँत माझ । ,डीन्हु मीस्याक ठुटो ।
उसले चाँहि मलाई देख्यो कि नजिकै तान्न खोज्ने । ,होच्य च ङाके डाङा की खेरेप न टन्डीके पाके ।
‘साथीलाई । ’ मैले औपचारिकताभन्दा पनि बुढोस“ग गफिएर समय कटाउन मात्र खोजें । ,लाफाके । ङे औपचारिकताडेनाङ ड बुढोस च बुढो गीन्म समय चेके मात्रै ङापाङ ।
माउभैसीको नाकमा जुका पसेछ । ,मोइभैसीओ मीनाङ लावाट पहीसा ।
बाँधुवा भैंसी फुक्न पाएकोमा चर्नुको सट्टा आँइ आँइ उँइ उँइ गर्दै बाँदरे जाने तेर्सोमा खुब मच्चि मच्चि उफ्रँदै थियो । ,बाँढुवा भैंसी फसाके डीन्हाङ स्वास्चौ सट्टा आँइ उँइ उँइ उँइ जाट्मन बाँडरे नुहुँके टेर्स्रोआङ खुब मच्चि मच्चि फोर्होजोमन लेया ।
तिमी पनि हिरो नै देखिन्छ नि हो । ,नाङ ड हिरो न डाङ्मले नी हो ।
रातभर हराईो । ,नाबीकभर म्हाटालेसा ।
वार्डभित्र एकजना सिस्टर थिई वन्दना पोखरेल नामको । ,वार्डभीट्री काटजना सिस्टर लेया वन्दना पोखरेल म्यारमीनो ।
हामी योन्जन हौं । ,कानको इसेन्जन आले ।
जोडी बाँध्यो । ,जोडी बाँढ्डीसा ।
घाम ओइलाएर गयो  । ,नामखन ओइलडीस्म नुहुँआ ।
"त्यो पुस्तक छापेपछि एकदिन म बाबु दाज्युलाई भेट्न गएँ , काठमाडौंमा । ","होस पुस्तक छाप्डीप्याक कायाक ङा बाबु दाजीके डूप्के ङाङुआङ , काठमाडौंआङ ।"
उहिले उहिलेको कुरा गर्नु पर्दैन । ,उहीले उहीलेओ कुरा जाट्के मापरीस्ले ।
नाङ्लो जत्रो आँगन । ,नङ्घली टरको आर्भा ।
यसपासी गुम्बाडाँडामा माने बनाउने रे । ,छेल्हेस गुम्बाडाँडाङ आर्जुके खास्के टा ।
फुर्साङको आमाले चाँहि दूधमा भिजाएको चामलको अछेता लिएर आयो । ,फुर्साङो मोइय च डुढाङ छीमीक्च छुरुओ अछेटा लाम राहा ।
साथीहरुबाट सुन्दै आएको थिएँ । ,लाफाकोईङ सेमन राहाच ङालेयाङ ।
म नै गएर भनेँ । ,ङा ज नुहुँआर डेआ ।
उनले मन मनै मुटुको मायालाई अङ्गालो हाली । ,होच्य मीमन न मीगीनो मायाके अङ्गालो काली ।
तामाङ लवजमा उनको विनम्रतालाई खासै वास्त नगरी बिचैमा बोल्यो अन्तरे झाँक्रीले । ,तामाङ लवजाङ होच्यो विनम्रटाके खासै वास्त माजाट्म बीचाङन ङाका अन्टरे झाँक्रीय ।
दाज्युले त्यसो भन्ने बेलामा गुरुङ साथीले मलाई एकपटक पुलुक्क हेर्यो । ,दाजीये होट डेच बेलाङ गुरुङ लाफाय ङाके काटपटक पुलुक्क ङोसा ।
छोराछोरी सानै थिए । ,मीजाको मार्ह्चन लेया ।
मलाई तिम्रो घर जाने मन छ । ,ङाकी नो इमाङ नुङ्के मीमन ले ।
बिहानै काममा आउनु परेकोले अघिदेखिनै रिस उठिराखेको म्हारसाङ अब चिढचिढ भई । ,गोराकन कामाङ राहाके परीस्चय म्हेनीङव्होरान मीरीस ख्योहोच म्हारसाङ अब चीढ छान्हा ।
छि एक्कासी कसरी तर्साउन सकेको प्रेममा पनि ब्वाँसोलेजस्तो . . . । ,छी एक्कासी कुटरी गनाक्के य्होकच प्रेमआङ ड ब्वाँसोयलख . . . ।
मन होस हवास सबै माइती घरमै थियो । ,मीमन होस हवास जम्मै माइटी इमाङ न लेया ।
ज्ञानु सिक्न पढ्न सिपालु । ,ज्ञानु पाहाके पढीस्के सिपालु ।
काक्रो सिङ्गै लैजाऊ । ,ङे पुरै नुन्ही ।
रूखमा चढ । ,वुटाङ काल्न ।
भाइ घरभित्र छ । ,भया इम भीट्री ले ।
पुसा फासफुस भन्छन् । ,फासफुस छान्ले ।
पिउने पानी छैन । ,गाच डी माले ।
मैले सकिनसकि पचाउन खोजे । ,ङै य्होकमाय्होक पैडीके पा ।
यो दुई पुस्तकको शब्द शब्दमा मेरो आँशुको ढिका बाँचेको छ । ,इसे न्हीस पुस्तकओ शब्द शब्दाङ ङौ मीमीकडीओ ढिका जीवाम ले ।
साह्रै नराम्रो लाग्यो । ,साह्रै मासेहेच लैडीसा ।
"कहिले ससुरा कहिले सासु , कहिले बाजे ससुरा , कहिले सौताको मितबुबा आएर मलाई घर बारी खेत सौताको नाममा गरिदिनु पर्छ भनि नै रह्यो । ","सेन ससुरा सेन सासु , सेन बाजी ससुरा , सेन सौटौ मीटबोइ राहार ङाके इम बारी गार्हा सौटौ म्यारमीनाङ जाट्मयाहाके पर्ले डेम न ङुआ ।"
दिपेश भन्ने गर्थ्यो  । ,दिपेश डेके जाटोला ।
"बाहुन , मगर अनि नेवारनीहरु माइतीघर जाने आउने लस्कर नै देखिन्थ्यो । ","बाहुन , मगर अनी नेवारनीको माइटीइम नुहुँके राहाके लस्कर न डाङोला ।"
"‘बस्नुस् न बस्नुस् मित्रजन’ बुबाले भन्नुभयो , ‘मान्द्रो बिछ्याउनुस् न मामाहरुलाई । ’","सोमनुहुँनी न ङुनी लाफाकोय डेयाको , 'गुन्ड्री टाङ्नीस न मामाकोके ।"
भेँडेटारला टर्निन पनि काट्यो । ,भेँडेटारला घम्टी ड चेसा ।
नभागेको भए मार्ने रहेछ । ,न भागेओ डेनाङ साट्के लेसा ।
म माया नै माया बीच खुसीमा हुर्केँ । ,ङा माया न माया बीचाङ खुसीआङ होर्आ ।
कराएपछि त ससुरा रिसाउनु भयो । ,च्याक्प्याक च ससुरा मीरीस जाटाको ।
