MAGAR,NEPALI
की नाङ नुङ्न की होसे नुहुँङोस ।,कि तिमी जाउँ कि ऊ जाओस् ।
नाङ बाहेक चू जना छान्ह्लेसा ।,तिमी बाहेक दसजना भएछ ।
नाकोके डास्म ङा कुलाक र मान्ले ।,तिमीलाई छोडेर म कतै जान्न ।
होसे लेनाङ ड छान्ह्ले ।,ऊ भए पनि हुन्छ ।
होसे लेनाङ ड लेउस ।,ऊ भए पनि होस् ।
होसके चैडीसनाङ राहाले मन्याङ माराहाले ।,उसलाई चाहिदा आउँछ नत्र आउँदैन ।
होसके चैडीसनाङ चैडीसा माचैडीसनाङ डासा ।,उसलाई चाहिदा चाहियो नचाहिदा छोड्यो ।
अनी च ङा होच्यो इमाङ मानुङ्ले ।,अनि त म उसको घरमा जान्न ।
होटीङ ङा होच्यो इमाङ माटाहामने ।,त्यसपछि म उसको घरमा पुगेको छैन ।
होसे याक व्होरा ङा होच्यो इमाङ माटाहामने ।,त्यस दिन देखि म उसको घरमा पुगेको छैन ।
माहाले डेनाङ ङा होच्यो इमाङ नुङ्म ङुले ।,होइन भने म उसको घरमा गइ बस्थे ।
माहाले डेनाङ ङा मानुहुँले ।,नत्रभने म जान्न ।
होट डेनाङ ङा मानुहुँले ।,त्यसो भने म जान्छु ।
होट डेनाङ ङा मानुहुँले ।,त्यसो भने म जान्न ।
ङा मानुहुँले हीकेडेनाङ होसे ङा कठा कुरा माजाट्ले ।,म जान्न किनभने ऊ मसँग कुरा गर्दैन ।
"लैनाङ चू रुपीयाँ य्हो , मालेनाङ मापरीस्ले ।","भएदेखि दस रूपियाँ देऊ , छैनभने पर्दैन ।"
"ङा कठा लेच लेनाङ , य्होके न भ्याला ।","मसँग भएको भए , दिइ नै हाल्थ्यो ।"
होसे कुरा खाट्च न आले डेनाङ होसे बुरुक्क फोन्जम स्याहाले ओला ।,यो कुरा मिलेको नै हो भनेदेखि ऊ बुरुक्क उफ्रेर नाच्छ होला ।
"काट , न्हीस , सोम , बुली हील्नी ।","एक , दुइ , तिन , चार गन ।"
गनो मेट ठोहोनी ।,सागको तरकारी पकाऊ ।
स्कुसो लहरा छान्ह्ले ।,स्कुसको लहरा हुन्छ ।
बीयू म्याङघोराङ ङुले ।,मुसा दुलोमा बस्छ ।
रिस्याङगुओ गुम्वाङ ङा टाहामने ।,रिस्याङगुको गुम्बामा म पुगेको छु ।
सरसफाइ जाट्नी । धुप जुर्नी ।,सरसफाइ गर । धुप बाल ।
भर्मीओ काट मीहुटाङ बाङ्गा मीऔँला छान्ह्ले ।,मान्छेको एउटा हातमा पाँच औंला हुन्छन् ।
मेनो कुरा मीमनाङ डानी ।,आफ्नो कुरा मनमा राख ।
डीन्हु मीस्याक ठुटो ।,दिन्हु दाँत माझ ।
होसे ओडाराङ बाघ ङुले टा ।,त्यो ओडारमा बाघ बस्छ रे ।
छीनिङ होस कुलाक नुहुँङ्ले ।,आज ऊ कहाँ जान्छ ।
पीहीन सु राहाले ?,भोलि को आउँछ ?
कान्छा आप्रीन राहाले ओला ।,कान्छो पर्सि आउँछ होला ।
होसके ढेरै याहौ ।,उसलाई धेरै देऊ ।
रक्सी इटार ले ।,रक्सी अलिकति छ ।
सोम ल्हेस छाना ।,तिन वर्ष भयो ।
नानी चू ल्हेस छाना ।,बहिनीले दस वर्ष भयो ।
बाबुजा राहा ।,छोरा आयो ।
ङै खोलाङ काट भर्मी डाङा ।,मैले खोलामा एउटा माछा देखे ।
पासाङ इम नुहुँले ।,पासाङ घर जान्छ ।
माझा मीजै उषा ज्याले ।,छोरीले औषधि खान्छ ।
भये रिक्ले ।,भाइले लेख्छ ।
इनाङ टून माङाह्मनले ।,अहिले सात बजेको छैन ।
बुहारीको कुलाङ नुङा ।,बुहारीहरू कहाँ गइन् ।
होचे कू पाठी छा बुके य्होक्ले ।,उसले नौ पाथी नुन बोक्न सक्थ्यो ।
गार्हाङ रायो मारोप्डीमने ।,खेतमा रायो रोपेको छैन ।
काट ढाकर मल बुओ ।,एक डोको मल बोक ।
दुध माज्मडीस्मने ।,दुध जमेको छैन ।
गौ मीम माखास्मन्या ।,चराले गुड बनाएको थिएन ।
मोचा माम्हीनमने ।,केरा पाकेको छैन ।
मोइओ पेवा माझा मीजौ छान्ह्ले ।,आमाको पेवा छोरीको हुन्छ ।
गलाम माखोल्मने ।,ढोका खोलेको छैन ।
सोम ग्वा लेया ।,तिनवटा कुखुरा थियो ।
रक्सीओ बोटलाङ बीर्को कानी ।,रक्सीको बोतलमा बिर्को लगाऊ ।
बीरी डोरी बुम घाँस सीङाङ नुङा ।,नाम्लो डोरी बोकेर घाँस दाउरामा गयो ।
ढुङ्ग्रोय म्हे म्हुट्नी ।,ढुङ्ग्रोले आगो फुक ।
दुधेंलोआङ दुध चीपो ।,दुधेंलोमा दुध दुह ।
भया इमाङ माटाहामने ।,भाइ घरमा पुगेको छैन ।
डै नानीओ माझा मीजाकी भान्जी डेले ।,दिदी बहिनीकी छोरीलाई भान्जी भनिन्छ ।
डै नानीओ लेन्जा मीजाकी भान्जा डेले ।,दिदी बहिनीको छोरालाई भान्जा भनिन्छ ।
माङ लाकीङ ङेस ख्योहा ।,घाउबाट पिप निस्केछ ।
चउराङ हेटको सेसाक्ले ।,चउरमा गाइबस्तु चराउँछन् ।
मीटालु भीट्री गीडी छान्ह्ले ।,टाउको भित्र गिदी हुन्छ ।
गहटो मेट छान्ह्ले ।,गहतको तरकारी हुन्छ ।
नाङ डाँडा इमो माइला ।,तिमी डाँडा घरे माइलो ।
कानको मगर आले ।,हामी मगर हौं ।
कानको जम्मै मगर आले ।,हामी सबै मगर हौं ।
कानको सारु आले ।,हामी सारु हौं ।
ङा पुच्छार इमो कान्छा ।,म पुच्छर घरे कान्छो ।
होसे ङौ दाजीओ ससुरा आले ।,ऊ मेरो दाइको ससुरा हो ।
नाको ही थरो आउला ?,तपाईहरू के थरको हुनुहुन्छ ?
कान थापाको ।,हामी थापाहरु ।
कान सारुको ।,हामी सारुहरु ।
मगरनीको पढीस्मन ले ।,मगरनीहरू पढदै छन् ।
झाँक्रिनीको होयोमन ले ।,झाँक्रिनीहरू काम्दै छन् ।
तामाङनीको कुरा डेमन ले ।,तामाङनीहरू कुरा भन्दै छन् ।
गाम्बानीको कुरा सेमन ले ।,गाम्बानीहरू कुरा सुन्दै छन् ।
नेवारनीको सेच डाङ्ले ।,तामाङनीहरू राम्री देखिन्छिन ।
गुरुङनीको रोधींआङ ल्हीङ ल्हीङमन लेया ।,गुरुङनीहरू रोधींमा गीत गाउँदै थिइन् ।
माझाको हाँन याहामन लेया ।,महिलाहरू जाँड दिदै थिइन् ।
लाटी चुप लग्डीस्म ङुमन लेया ।,लाटी चुप लागेर बस्दै थिइ ।
गेटौ छपनीआङ हान छान्डीनी ।,चोयाको छपनीमा जाँड छान ।
जात्राङ मराङच छान्ह्ले ।,जात्रामा रमाइलो हुन्छ ।
रक्सी माजाप्च छान्ह्लेसा ।,रक्सी नमिठो भएछ ।
होसे उहीलेओ कुरा माहाले ।,यो उहिलेको कुरा होइन ।
झारको हुट्च मालेसा ।,झारहरू उखालेको रैनछ ।
भजी बारीआङ नुङा ।,भाउज्यु बारीमा गइन् ।
भजी इम भीट्री ले ।,भाउज्यु घरभित्र छन् ।
मीजाबुहारी पढीस्मन लेया ।,छोराबुहारी पढदै थिइ ।
भान्जाबुहारी कुलाक नुङा खै ?,भानिजबुहारी कता गइन कुन्नी ?
"मोइ इलाक लेसा , मीजा कुलाक नुङा खै ?","माऊ यहाँ रहेछ , बच्चा कता गएछ कोनि ?"
वाक मोइ उलाक चउराङ लेया ।,सुङ्गुर माऊ पर चउरमा थियो ।
नो बरसालाङ ही ही ले ?,तिम्रो गोठमा के के छ ?
"ङौ बरसालाङ ग्वा ले , वाक ले , भैसी ले , र्हा ले ।","मेरो गोठमा कुखरा छन् , सुङुर छन् , भैसीं छन् , बाख्रा छन् ।"
नो बरसालाङ भेडा ले ?,तिम्रो गोठमा भेडा छैन ?
"माले , लूक माले । खरायो ड माले ।","छैन , भेडा छैन । खरायो पनि छैन ।"
पेमाय चिठी मारीक्मने ।,पेमाले चिठी लेखेको छैन ।
डोल्माके चिठी यानी ।,डोल्मोलाई चिठी देऊ ।
नाङ पासाङ कठा नुहुँन ।,तिमी पासाङसँग जाउँ ।
काट रोटी याहानी ।,एक रोटी दिनोस् ।
सोम वुटा रोप्डीया ।,तीनवटा रूख रोप ।
होच्यो बुली वटा र्हा ले ।,उसको चारवटा बाख्रा छ ।
घैंटोआङ डी माले ।,घैंटोमा पानी छैन ।
सोम ट्रक बालुवा चैडीस्ले ।,तीन ट्रक बालुवा चाहिन्छ ।
ने ही ही ज्या ?,तिमीले के के खायौं ?
"ङै छो ज्या , मेट ज्या , स्या ज्या ।","मैले भात खाए , तरकारी खाए , मासु खाए ।"
गार्हाङ सु ङुना ?,खेतमा को गयो ?
"डै , भेना , दाजी , भजी , भया र नानीको नुङा ।","दिदी , भेना , दाइ , भाउज्यु , भाइ र बहिनीहरू गइन् ।"
मोइओ सोम टोला सुनो गेल ले ।,आमाको तिन तोला सुनको चुरा छ ।
डैओ चू टोला चाँदीओ गेल ले ।,दिदीको दस तोला चाँदीको चुरा छ ।
कोडाली फलामो छान्ह्ले ।,कोदालो फलामको हुन्छ ।
नानीय बन्डी माबील्मने ।,नानीले लुगा लगाएको छैन ।
कागटी बीर्म छान्ह्ले ।,कागती अमिलो हुन्छ ।
छा छेस्म छान्ह्ले ।,नुन नुनिलो हुन्छ ।
ऐनाङ मीटाहा ङोसो ।,ऐनामा अनुहार हेर ।
लाफाकै डेच कुरा डीनी ।,साथीले भनेको कुरा मान ।
भर्मीय ही ही गाकी जाट्ले ?,मानिसले के के पिउने गर्छ ?
"भर्मीय डी गाले , दुध मही गाले , हान रक्सी गाले , चुरोट बीडी गाले ।","मान्छेले पानी खान्छ , दुध मही खान्छ , जाँड रक्सी खान्छ , चुरोट बिडी खान्छ ।"
नानीओ मीनाङ मीनाप ले ।,नानीको नाकमा सिँगान छ ।
नो मेङ्गेराङ छो लेसा ।,तिम्रो मुखमा भात रहेछ ।
खुकुरीय स्या चेउ ।,खुकुरीले मासु काट ।
गौ मीजा टून वटा ले ।,कुखुराको चल्ला सातवटा छ ।
देवस्थानाङ घण्टी ङानी ।,देवस्थानमा घण्टी बजाऊ ।
नाती गेस्मन लेया ।,नाती खेल्दै थियो ।
बरो वुटाङ माकाल्हन ।,बरको रुखमा नचढ ।
छेउ छेउआङ वुटा रोपडीओ ।,डिल डिलमा रूख रोप ।
ल्हुङ् पल्टडीके बल जाटो ।,ढुङ्गा पल्टाउन बल गर ।
नीँगालो माचेउ ।,निँगालो न काट ।
चीम्टै म्हे जीमो ।,चिम्टाले आगो समात ।
टीसीनीङ याकभर व्हामन्या ।,हिजो दिनभरि हिडेको थियो।
पूर्वआङ नाङखान फेर्ह्ले ।,पूर्वमा घाम झुल्किन्छ ।
चालनीआङ पीठो चालडीओ ।,चालनीमा पिठो चाल ।
हाँडीआङ मकै भुट्डीओ ।,हाँडीमा मकै भुट ।
लप्सी बीर्म छान्ह्ले ।,लप्सी अमिलो हुन्छ ।
"माछान्ह्ले , ङा मानुहुँले ।","हुन्न , म जान्न ।"
मीनाङ मीँही ले ।,नाकमा रगत छ ।
इन्च कुरा जाट्म माव्हानी ।,यस्तो कुरा गरि नहिड ।
ङौ पुस्तक माछाप्डीमने ।,मेरो पुस्तक छापेको छैन ।
भर्मीओ इलाकपटी मीहील छ्याक्म माङुन ।,मान्छेको अगाडि खुट्टा बटारेर नबास ।
बढनीय इम सीटो ।,कुचोले घर बढार ।
लेन्जा माझाकै लाङ्घाइम सेच डाङ्ले ।,युवा युवतिले गाउँघर राम्रो देखिन्छ ।
काट गीलास डी राक्नी च ।,एक गिलास पानी ल्याउनु न ।
च्याच बन्डी टाल्डीच मालेसा ।,फाटेको लुगा टालेको रैनछ ।
इसे पोखरीआङ डीस्या मालेसा ।,यस पोखरीमा माछा रैनछ ।
माझ इमो कान्छाय बुहारी उन्लेसा ।,माझ घरे कान्छोले बुहारी ल्याएछ ।
रीन जाट्म माज्यानी ।,रिन गरेर नखाउ ।
खोलाङ गेस्के मान्नी ।,खोलामा खेल्न नजाऊ ।
सीता लेन्जाके माझोमने ।,सीता पोइलाई भागेको छैन ।
मकै टयाकी माय्होकले ।,मकै चपाउनु सक्दिन ।
छो मागाराङ्मने ।,भात ओडालेको छैन ।
नाङ बौलाडीस्च कुरा माजाटो ।,तिमी बौलाएको कुरा नगर ।
ने ही कोट्टडीच आले ?,तिमीले के कोट्याएको हो ?
ल्हुङाङ म्याङ्गोरा परीस्च मालेसा ।,ढुङ्गामा दुलो पारेको रैनछ ।
इसे सीङाङ वृट्ट खासो ।,यस काठमा वृत्त बनाऊ ।
चील राहा । गौ मोजा नुहुँन्चले ।,चिल आयो । कुखुराको चल्ला लैजाला ।
रामके बूलय जीक्चमन्या ।,रामलाई सर्पले ठुङेको थियो ।
नानीओ मीस्याक माख्योम लेसा ।,नानीको दाँत निस्केको रहेनछ ।
टीम्बुरय ओसोट्ले ।,टिम्बुरले कोक्याउँछ ।
भयाको अर्नी ज्याके रानीस् ।,भाइहरू खाजा खान आउ ।
मालाओ न्हीस वुटा रोप्डीमने ।,मालाको दुइटा रूख रोपेको छ ।
बरसालाङ भैसी बर्डा ले ।,गोठमा भैसी गोरू छ ।
इमाङ सु राहा ?,घरमा को आयो ?
इमाङ भया राहा ।,घरमा भाइ आयो ।
बरसालाङ दाजी नुङाको ।,गोठमा दाइ जानु भयो ।
जात्राङ सु सु नुङा ?,जात्रामा को को गए ?
र्हाके घाँस कौ ।,बाख्रालाई घाँस हाल ।
कोवा वुटाङ ले ।,काग रूखमा छ ।
नामसु राह्के पा ।,हावा हुरि आउन आट्यो ।
सोम जना भर्मी लेया ।,तिनजना मान्छे थियो ।
इमाङ बूली जना पाहुना ले ।,घरमा चार जना पाहुना छन् ।
पसलाङ सोम वटा ग्वा नुहुँनो ।,पसलमा तिनवटा कुखुरा लैजाऊ ।
टुन वटा र्हा चेलेसा ।,सातवटा बाख्रा काटेछ ।
ङै होमवर्क मारीक्मने ।,मैले होमवर्क लेखेको छैन ।
नानीके चियै जोलेसा ।,नानीलाई चियाले पोलेको थियो ।
स्या जोमन लेया ।,मासु पोलेको थियो ।
बडा चँही लेन्जा मीजा काठमाडौँ नुङा ।,ठुलो चाँहि छोरो काठमाडौं गयो ।
गार्हाङ झार माहुटमने ।,खेतमा झार उखालेको छैन ।
इसे भर्मीय आर्भ्यट्च कुरा जाट्के लेसा ।,यो मान्छेले चिप्लो कुरा गर्दो रहेछ ।
मे - मेल्ल्हौ मीहुटाङ ङोस्नी ।,आ - आफ्ना हत्केलोमा हेर ।
इसे नानीओ साट्टो नुङा ।,यो नानीको सातो गयो ।
नानीय माडास्मने ।,बहिनीले छोडेकी छैनन् ।
काट किलो छुरु चैडीस्ले ।,एक किलो चामल चाहिन्छ ।
ङै होच्यो मीटाहाङ पुलुक्क ङोसा ।,मैले उसको मुहारमा पुलुक्क हेरे ।
झौ भाँडा भाट्ले ।,माटोको भाँडो फुटछ ।
पेमाके डी यानी ।,पेमालाई पानी देऊ ।
ङाकी मीमन परीसा ।,मलाई मन पर्यो ।
सुयोर मीमनाङ रोम मासेया ।,कसैको मनमा दया छैन ।
मेनो डुखा बाट्नी ।,आफ्नो दुख बिसाउ ।
भोङ्ग व्हाङ ढोक चढ्डीलाङ् ।,सय हजार ढोक चढाउँछु ।
ङ ङाल्ला नुङा ।,म एक्लै गएँ ।
जम्मै जाट्नाङ चूकाट छाना ।,सबै गर्दा एघार भयो ।
नानीओ न्हीसचूकाट वटा र्हा ले ।,बहिनीको २१ वटा बाख्रा छ ।
चूआङ काट वाङ ठप्डीओ ।,दसमा एउटा शुन्य थप ।
बाङ्गाचू वटा र्हा माले ओला ।,पचासवटा बाख्रा छैन होला ।
ङा अमृत मगर आले ।,म अमृत मगर हो ।
कान थापा आले ।,हामी थापा हौं ।
कानको थापा आले ।,हामीहरू थापा हौं ।
नाको सारु आले ।,तिमीहरू सारु हौ ।
नाङ राना आले ।,तिमी राना हौ ।
नाको मोक्तान आलेसा ।,तपाईहरू मोक्तान हुनुहुन्छ ।
होसे नेवार आले ।,ऊ नेवार हो ।
होसको नेवार आले ।,उनीहरू नेवार हुन् ।
इसको घर्टी आले ।,यिनी घर्टी हुन् ।
इसे भर्मी माझी आले ।,त्यो मान्छे माझी हो ।
होसको माझी आले ।,तिनीहरू माझी हुन् ।
इसे भर्मी सुनुवार आले ।,त्यो मान्छे सुनुवार हो ।
होसे जापानी आले ।,त्यो जापानी हो ।
होसको जापानी आले ।,तिनीहरू जापानी हुन् ।
होसको अमेरीकी आले ।,तिनीहरू अमेरिकी हुन् ।
होसे इनाङ न टाराहाले ।,ऊ अहिले नै आइपुग्छ ।
होसे पीहीन टाराहाले ।,ऊ भोलि आइपुग्छ ।
होसे आपीरीन टाराहाले ।,ऊ पर्सी आइपुग्छ ।
होसे आपीरीओ याक टाराहाले ।,ऊ पर्सिको दिन आइ पुग्छ ।
इसे ही आले ?,यो के हो ?
होसे ही आले ?,ऊ को हो ?
होसे कुलाङ नुङा ?,ऊ कहाँ गयो ?
होसे हीके राप्चाले ।,ऊ किन रुएको हो ।
होसे सु ठाँउआङ नुङा ?,ऊ कुन ठाउँमा गयो ?
होसे भर्मी सु लेसा ?,त्यो मान्छे को रहेछ ?
होचे ही उन्नेसा ?,उसले के ल्याएछ ?
होच्यो इमाङ सु राहा ?,उसको घरमा को आयो ?
होच्यो इमाङ भया राहालेसा ।,उसको घरमा भाइ आएछ ।
दाजी कुलाङ ले ?,दाइ कहाँ छ ?
बाबु कुलाक नुङा ?,काका कता गयो ?
लेन्जा मीजाको स्कुल नुङा ।,छोरीहरू स्कुल गयो ।
नातीको गेस्मन ले ।,नातीहरू खेल्दै छन् ।
डैको गार्हा लेकीङ राहामन ले ।,दिदीहरू खेतबाट आउँदै छन् ।
बाजीको रक्सी गामन ले ।,बाजेहरू रक्सी खाँदै छन् ।
जुवाइँको ल्हीङ ल्हीङमन ले ।,जुवाइँहरू गीत गाउँदै छन् ।
बुहारीको घाँस सीङाङ जाट्के नुङ्मने ।,बुहारीहरू घाँस दाउरमा गएकी छिन् ।
मामाको जुँगा मर्ठाडीमन लेको ।,मामाहरू जुँगा मठार्दै छन् ।
भया स्कुल नुङ्मन लेया ।,भाइ स्कुल गएको थियो ।
मामा ज्यू ढेमाङ ङुनीको ।,मामा महोदय माथि बस्नु होस् ।
सगरमाथा कुडीक करङ्च ले ?,सगरमाथा कति अग्लो छ ?
बुढानिलकण्ठ कुलाङ ले ?,बुढानिलकण्ठ कहाँ छ ?
भया इमाङ ले ।,भाइ घरमा छ ।
नानीको गेस्मन ले ।,बहिनीहरू खेल्दै छिन् ।
र्हाको घाँस ज्यामन ले ।,बाख्राहरू घाँस खादै छन् ।
कानुङ पाठी सुय नुन्हा ?,हाम्रो पाठी कसले लग्यो ?
र्हामोइके डोरीय छ्याक्नी ।,बाख्रामाऊलाई डोरीले बाँध ।
चीऊमोइके छो यानी ।,कुकुरमाऊलाई खाना देऊ ।
पाठीके किलाङ छ्याक्नी ।,पाठीलाई किलोमा बाँध ।
भुनी वाक आलाङ लेया ।,भुनीसुङ्गुर पर तिर थियो ।
पाडीभैंसी कुलाक ले ?,पाडीभैंसी कता छ ?
भेनाज्यूको सीङ भास्मन ले ।,भेनाज्युहरू दाउरा चिर्दै छन् ।
माझा मीजाजुवाइँको घाँस चेमन ले ।,छोरीजुवाइँहरू घाँस काट्दै छन् ।
का घरलाप सीङ लाम राहानी ।,एक अङ्गालो दाउरा लिएर आउ ।
काट माना छुरुओ छो ज्याले ।,एक माना चामलको भात खान्छ ।
काटगाँस छोके चीऊको हुले ।,एकगाँस भातलाई कुकुरहरू भुक्छन् ।
"काट ढाकर घाँस लाम रानी , छो य्हालाङ ।","एक डोको घाँस ल्याएर आऊ , भात दिउँला ।"
काट बोटल रक्सी नुह्नी ।,एक पोङ रक्सी लैजाऊ ।
काट मीहुट बन्डी चैडीस्ले ।,एक हात लुगा चाहिन्छ ।
चू मीहुट डोरी चैडीस्ले ।,दस हातको डोरी चाहिन्छ ।
सोम पाठी राङ्क्वा चैडीस्ले ।,तिन पाथी कोदो चाहिन्छ ।
काट मुठी छुरु चैडीस्ले ।,एक मुठी चामल चाहिन्छ ।
काट माना छुरु चैडीस्ले ।,एक माना चामल चाहिन्छ ।
सोम पाठी राङ्क्वौ हान खास्नी ।,तिन पाथी कोदोको जाँड बनाऊ ।
काट थाल छो ज्या र व्हा ।,एक थाल भात खाएर हिड्यो ।
काट मुठी हानो मीडी उन्नी ।,एक मुठी जाँडको झोल लेऊ ।
सोम पाथी रक्सी चैडीस्ले ।,तिन पाथी रक्सी चाहिन्छ ।
सोम बटुका याहानी ।,तिनवटा बटुका देऊ ।
बटुका भीट्री नुह्नी ।,बटुका भित्र लैजाऊ ।
कलाप जा वाङनी ङा ड नुहुँङ्ले ।,एक क्षण पर्ख म पनि जान्छु ।
काट किलो ग्वा स्या लाम नुङ्नी ।,एक किलो कुखुराको मासु लगेर जाऊ ।
कलापाङ भया टाराहाले ।,एक क्षणमा भाइ आइपुग्छ ।
माझा मीजा काट ल्हेसो छाना ।,छोरी एक वर्षको भयो ।
कपाङ वाङार भयाके ड नुह्नी ।,एक क्षण पर्खेर भाइलाई पनि लैजाऊ ।
गोराकभरीआङ ङै काट भारी घाँस लाम राहा ।,बिहानभरिमा मैले एक भारि घाँस ल्याएर आयो ।
"नबी छाना , अब इमाङ नुङ्नी ।","रात भयो , अब घर जाऔं ।"
पासाङय होच्यो बोइओ न्हीस नबीओ घेवा जाटा ।,पासाङले उसको बुबाको दुइ रातको घेवा गर्यो ।
नाङ टीसीनीङ याकभरी कुलाङ नुङ्च लेया ।,तिमी हिजो दिनभरि कहाँ गएका थियौ ।
याकभरी होच्यो काम जाटा ङाकी ही न ही ।,दिनभरि उसको काम गरे मलाई के न के ।
सोम महीनाओ नानी डासार मोइ जोहा ।,तिन महिनाको नानी छोडेर आमा पोइला हिडि ।
न्हीस सोम ल्हेसो छाना ओला ।,दुइ तिन वर्षको भयो होला ।
का याक नाङ न राहा न ।,एक दिन तिमी नै आऊ न ।
मीजा काट ल्हेसो छान्ह्प्याक मोइ कामाङ नुङा ।,बच्चा एक वर्षको भए पछि आमा काममा गयो ।
नाङ काट ल्हेस सम्म वाङ्म ङुन न ।,तिमी एक वर्षसम्म पर्खेर बस न ।
का याक होसे भर्मी टाराहा ।,एक दिन त्यो मान्छे आइपुग्यो ।
न्हीस याक सम्म व्हा ।,दुइ दिन सम्म हिडे ।
वुटा घङ्च ले ।,रूख अग्लो छ ।
होसे वुटा मार्ह्च लेया ।,त्यो रूख होचो थियो ।
पटुका टुन्च ले ।,पटुका छोटो छ ।
ल्हुङ जार्म छान्ह्ले ।,ढुङगा साह्रो हुन्छ ।
ल्हुङको ग्होवार ढेमाङ नुन्ही ।,ढुङ्गाहरू बटुलेर माथि लैजाऊ ।
मोचाको झोलाङ डानी ।,केराहरू डालोमा राख ।
वुटाङ ङोस्नी ।,रूखमा हेर ।
वुटाको छोक्लेसा ।,रूखहरू सुकेछन् ।
र्हा कुलाङ नुङ्लेसा ङोसो ।,बाख्रा कहाँ गएछ हेर ।
र्हाको स्यासाक्के नुन्हो ।,बाख्राहरू चराउन लैजाऊ ।
"होलाको भर्मी राहा , ङोसो ।","पर को मान्छे आयो , हेर ।"
भर्मीको राचौ राम ले ।,मानिसहरू आएको आएकै छन् ।
नाङ म्हाकाङ नुङ्न ।,तिमी तल जाऊ ।
पासाङ अगाडी नुङ्नी ।,पासाङ अगाडि जाऊ ।
पेमा न्हुलाक न्हुलाक राहा ।,पेमा पछाडि पछाडि आयो ।
ङा र होसे जात्राङ नुङा ।,म र ऊ जात्रामा गयौं ।
अनी ही छाना ?,अनि के भयो ?
नाक न इन्च लेसा ।,तिमी नै त्यस्तो रहेछ ।
हीकेडेनाङ होचे माराहान डेम लेया ।,किनभने उसले नआउ भनेको थियो ।
"ओइ , नाङ सेन राहाच ?","ओइ , तिमी कहिले आयौ ?"
"ओहो , नाङ पो लेसा ?","ओहो , तिमी पो रहेछ !"
नाङ न नुङ्न ।,तिमी नै जाउ न ।
ङै च सु पो लेसा डेच च नाङ पो लेसा ।,मैले त को पो रहेछ भनेको त तिमी पो रहेछ ।
ने न डेउ न ।,तिमी नै भन न ।
होस्कुङ लेन्जा मीजाकै ही जाट्ले नी ?,उसका छोराहरू के गर्छन् नि ?
मगरको नेपालाङ कुलाङ कुलाङ ले ?,मगरहरू नेपालमा कहाँ कहाँ छन् ?
नानीओ मीमीडी सीटो ।,बहिनीको आँसु पुछ ।
होच्यो गीडी ले की माले की ।,उसको गिदी छ कि छैन कि ।
गौ घीच्रो कुलाक छान्ह्ले ङाकी थाहा माछान्हा ।,कुखुराको घिच्रो कहाँ हुन्छ मलाई थाहा भएन ।
गोमोइ इलाक ले ।,कुखुरामाउ यहाँ छ ।
पोथी ग्वा कुलाक नुङा ?,पोथी कुखुरा कहाँ गएछ ?
भाल्या ग्वा ड छान्हे ।,भाले कुखुरा पनि रहेनछ ।
छो मासेच लेसा ।,भात नराम्रो रहेछ ।
म्हाकाङो मर्ह्च भर्मीके ङोसो ।,तलको होचो मान्छेलाई हेर ।
हुक घङ्च छान्ह्ले ।,बाँस अग्लो हुन्छ ।
डोरी लोट्च छान्ह्ले ।,डोरी लामो हुन्छ ।
आलुम टुन्च छान्ह्ले ।,आलुम छोटो हुन्छ ।
दुध बोच छान्ह्ले ।,दुध सेतो हुन्छ ।
टाप्के कालो छान्ह्ले ।,ताप्के कालो हुन्छ ।
हीँउ बोच छान्ह्ले ।,हिउँ सेतो हुन्छ ।
हीँउ झालार बोच न छान्ह्लेसा ।,हिउँ खसेर सेतै भएछ ।
सैलुङ डाँडा बोमन छान्ह्लेसा ।,सैलुङ डाँडा सेताम्मे भएछ ।
पेसा बोचबोच ले ।,पेमा सेतोसेतो छ ।
पासाङ बोच न बोच ले ।,पासाङ सेतो न सेतो छ ।
सु आले डेच त सेती पो लेसा ।,को पो भनेको त सेती पो रहिछे ।
सेच सुन्दरी माझा चैडीस्ले ।,राम्री सुन्दरी केटी चाहिन्छ ।
होचे अमेरीकी माजाकठा बीहा जाट्लेसा ।,उसले अमेरिकी केटीसँग बिहे गरेछन् ।
काट ओर्च सार ढुमार नुन्ह्नी ।,एउटा पहेंलो फुल टिपेर लैजाऊ ।
छोसान म्हीनार ओर्च छान्ह्लेसा ।,धान पाकेर पहेंलो भएछ ।
ङाकी च उरमाइय डेचाले ।,मलाई त उरमाइले भनेकी हो ।
बज्याको खाटाङ ङुनी ।,बज्यैहरू खाटमा बस्नुहोस् ।
भेनाज्युको भान्छाङ नुङ्नी ।,भेनाज्युहरू भान्छामा जानुहोस् ।
लामाको मञ्चाङ ले ।,लामाहरू मञ्चमा छन् ।
झ्याबा कुलाक नुङ्लेसा ?,ठुलाबा कहाँ गएछन् ?
झ्यामोइ भीट्री लेको ।,ठुलीआमा भित्र हुनुहुन्छ ।
बाबु पढ्डीस्मन लेको ।,काका पढदै हुनुहुन्छ ।
मूसी ल्हीङ लेमन लेको ।,काकी गीत सुन्दै हुनुहुन्छ ।
मामौ इम कुलाङ ले ।,मामाको घर कहाँ छ ।
गुमा इमाङ न लेको ।,माइज्यु घरमै हुनुहुन्छ ।
होसको ङौ ससुरा आले ।,उनी मेरा ससुरा हुनुहुन्छ ।
नो दाजी कुलाङ नुङ्मले ।,तिम्रो दाज्यु कहाँ जानु भयो ?
